MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
63,2,2018,0,2021,0,1,1,0.0,8,6,39.0,57.2,5,2,14.9,16.2,7.4,7.9,8,8,8,7,N
64,17,2020,100,1991,0,0,2,0.0,7,6,30.1,38.9,1,1,9.1,18.3,7.3,7.9,8,8,9,8,N
1,1,1942,3408,2020,N,N,N,1969.0,5,N,24.5,32.7,1,19,2.4,8.2,0.0,0.0,N,N,N,5,5
1,1,2016,3639,2020,8,0,1,0.0,8,6,32.7,54.4,5,2,30.5,91.4,13.3,14.0,7,8,8,8,N
1,1,1954,100,2020,N,N,N,1960.0,6,9,23.6,39.9,1,19,3.0,6.7,11.6,12.0,N,N,N,6,7
1,1,1954,100,2020,0,6,1,0.0,6,5,25.4,49.0,1,1,7.6,22.9,7.0,7.7,7,7,7,8,N
1,1,1962,100,2020,N,N,N,0.0,6,8,23.6,39.9,1,19,3.0,10.1,9.8,10.2,N,N,N,7,6
1,1,1962,272,2020,8,6,1,0.0,6,4,33.6,68.0,1,1,7.6,38.1,7.0,7.7,7,7,6,6,N
1,1,1949,261,2020,8,9,1,0.0,5,5,18.1,29.9,4,2,21.3,106.4,7.3,7.9,7,6,5,4,N
1,1,2012,137,2020,N,N,N,0.0,6,6,32.7,54.4,1,19,2.7,12.5,9.1,9.8,N,N,N,8,6
1,1,1959,113,2020,0,6,1,0.0,6,4,25.4,49.9,1,1,7.6,15.2,7.1,7.7,7,7,6,7,N
1,1,1959,195,2019,0,6,1,0.0,6,4,25.4,49.0,1,1,7.6,7.6,7.2,7.7,7,7,6,6,N
1,1,1990,159,2020,0,0,1,0.0,7,6,32.7,54.4,5,2,21.3,21.3,8.5,9.1,8,7,7,6,N
