MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062
64.0,17.0,2020.0,100.0,1991.0,0,0,2,0.0,7,6,30.1,38.9,1.0,1.0,9.1,18.3,7.3,7.9,9,9,9,9,N
2.0,1.0,1945.0,10.0,2010.0,0,9,6,0.0,3,5,6.3,9.1,4.0,2.0,6.4,12.5,6.6,6.6,4,6,6,6,N
1.0,1.0,1933.0,1201.0,2020.0,0,6,1,1955.0,6,5,26.3,44.4,1.0,4.0,8.5,43.6,9.1,10.1,7,6,6,5,N
1.0,1.0,1933.0,1201.0,2020.0,0,6,1,1955.0,5,5,26.3,44.4,1.0,4.0,8.5,61.0,9.1,10.1,7,5,5,6,N
1.0,1.0,1933.0,1527.0,2020.0,N,N,N,1955.0,6,N,23.6,39.9,1.0,19.0,3.0,6.7,0.0,0.0,N,N,N,6,6
1.0,1.0,1933.0,12469.0,2020.0,N,N,N,1974.0,5,N,23.6,39.9,1.0,19.0,1.5,14.6,0.0,0.0,N,N,N,4,6
1.0,1.0,1933.0,9110.0,2020.0,N,N,N,1974.0,5,N,23.6,39.9,1.0,19.0,1.5,10.1,0.0,0.0,N,N,N,6,6
1.0,1.0,1931.0,2818.0,2020.0,0,6,1,1965.0,5,6,27.2,46.3,1.0,4.0,8.5,139.0,13.0,13.5,7,6,5,5,N
1.0,1.0,1931.0,2818.0,2020.0,0,6,1,1965.0,5,6,27.2,46.3,1.0,4.0,8.5,52.1,13.0,13.5,7,7,5,5,N
1.0,1.0,1931.0,2818.0,2020.0,N,N,N,1965.0,6,N,24.5,32.7,1.0,19.0,1.5,7.0,0.0,0.0,N,N,N,6,7
1.0,1.0,1931.0,2428.0,2020.0,0,6,1,1965.0,6,6,27.2,46.3,1.0,4.0,8.5,52.1,13.0,13.5,7,7,6,6,N
1.0,1.0,1924.0,1477.0,2020.0,0,6,1,1965.0,5,6,26.3,45.4,1.0,1.0,5.5,38.4,11.8,12.3,6,6,5,5,N
1.0,1.0,1924.0,1477.0,2020.0,0,6,1,1965.0,6,6,26.3,45.4,1.0,1.0,5.5,27.4,11.8,12.3,6,6,6,5,N
1.0,1.0,1954.0,2603.0,2020.0,N,N,N,0.0,6,N,23.6,39.9,1.0,19.0,1.8,8.2,0.0,0.0,N,N,N,5,6
1.0,1.0,2000.0,2400.0,2010.0,0,0,2,0.0,7,4,32.7,54.4,5.0,2.0,29.0,92.1,9.5,10.4,7,7,7,N,N
1.0,1.0,1994.0,5228.0,2019.0,0,0,2,0.0,7,9,32.7,54.4,5.0,2.0,30.5,64.0,13.2,14.0,7,7,7,N,N
1.0,1.0,1996.0,6243.0,2020.0,N,N,N,2016.0,5,N,23.6,39.9,1.0,19.0,3.0,13.7,0.0,0.0,N,N,N,5,6
1.0,1.0,1996.0,6243.0,2020.0,N,N,N,0.0,5,N,23.6,39.9,1.0,19.0,2.7,11.3,0.0,0.0,N,N,N,6,6
1.0,1.0,2001.0,5523.0,2019.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,29.0,83.8,13.2,14.0,7,7,7,N,N
1.0,1.0,1998.0,6243.0,2020.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,32.0,86.9,13.2,14.0,7,7,7,N,N
1.0,1.0,1998.0,6243.0,2020.0,N,N,N,2016.0,5,N,23.6,39.9,1.0,19.0,3.0,10.1,0.0,0.0,N,N,N,7,7
1.0,1.0,1998.0,5250.0,2013.0,0,0,2,2017.0,7,9,32.7,54.4,5.0,2.0,24.4,73.2,17.0,17.7,7,7,7,6,N
1.0,1.0,1996.0,6243.0,2020.0,N,N,N,2016.0,5,N,23.6,39.9,1.0,19.0,3.0,9.4,0.0,0.0,N,N,N,7,7
1.0,1.0,2013.0,6400.0,2011.0,0,0,2,0.0,7,7,32.7,54.4,5.0,2.0,24.4,73.2,11.6,12.2,7,7,7,6,N
1.0,1.0,2021.0,10800.0,2018.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,32.0,86.9,11.6,12.2,7,8,7,N,N
1.0,1.0,2021.0,10800.0,2018.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,29.0,83.8,11.6,12.2,7,8,7,N,N
1.0,1.0,1954.0,4355.0,2020.0,N,N,N,1992.0,6,N,23.6,39.9,1.0,19.0,2.4,11.3,0.0,0.0,N,N,N,6,6
1.0,1.0,1990.0,7333.0,2020.0,0,0,2,0.0,7,6,32.7,54.4,5.0,2.0,24.4,195.1,13.4,14.1,7,7,7,6,N
1.0,1.0,1990.0,7333.0,2020.0,0,0,2,0.0,6,6,32.7,54.4,5.0,2.0,29.0,280.4,13.4,14.1,6,7,6,5,N
1.0,1.0,1990.0,7333.0,2020.0,0,0,2,0.0,6,9,32.7,54.4,5.0,2.0,29.0,134.1,13.6,14.1,7,6,7,7,N
1.0,1.0,1990.0,6928.0,2020.0,0,6,2,0.0,6,9,32.7,54.4,5.0,2.0,29.0,134.1,13.6,14.1,7,6,6,6,N
1.0,1.0,1990.0,7333.0,2020.0,N,N,N,2020.0,6,N,24.5,32.7,1.0,19.0,3.0,10.7,0.0,0.0,N,N,N,6,6
1.0,1.0,1990.0,7333.0,2020.0,N,N,N,2020.0,6,N,24.5,32.7,1.0,19.0,2.4,11.6,0.0,0.0,N,N,N,7,6
1.0,1.0,1990.0,6928.0,2020.0,N,N,N,2020.0,6,N,24.5,32.7,1.0,19.0,2.4,7.9,0.0,0.0,N,N,N,7,7
1.0,1.0,1990.0,6928.0,2020.0,N,N,N,0.0,6,N,24.5,32.7,1.0,19.0,3.0,18.9,0.0,0.0,N,N,N,6,6
1.0,1.0,1990.0,6652.0,2020.0,N,N,N,2020.0,5,N,23.6,39.9,1.0,19.0,3.0,16.8,0.0,0.0,N,N,N,6,7
1.0,1.0,1990.0,6652.0,2020.0,N,N,N,2020.0,5,N,23.6,39.9,1.0,19.0,3.0,26.2,0.0,0.0,N,N,N,7,6
1.0,1.0,1990.0,6776.0,2020.0,N,N,N,2020.0,5,N,23.6,39.9,1.0,19.0,2.4,8.2,0.0,0.0,N,N,N,6,7
1.0,1.0,1990.0,6776.0,2020.0,N,N,N,2020.0,5,N,23.6,39.9,1.0,19.0,2.4,8.2,0.0,0.0,N,N,N,6,7
1.0,1.0,2021.0,5700.0,2018.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,25.9,195.1,11.6,12.2,7,8,7,7,N
1.0,1.0,2021.0,5700.0,2018.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,29.0,281.9,11.6,12.2,7,7,7,7,N
1.0,1.0,2021.0,5700.0,2018.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,29.0,134.1,11.6,12.2,7,8,7,7,N
1.0,1.0,2021.0,5700.0,2018.0,0,0,2,0.0,7,5,32.7,54.4,5.0,2.0,29.0,134.1,11.6,12.2,7,8,7,6,N
1.0,1.0,2020.0,2403.0,2019.0,0,1,2,0.0,8,6,32.7,54.4,5.0,2.0,33.5,67.1,11.4,12.2,7,9,8,N,N
1.0,1.0,1966.0,1035.0,2020.0,8,6,1,0.0,6,6,24.5,32.7,1.0,19.0,1.8,10.4,10.7,18.1,N,N,N,6,6
1.0,1.0,1934.0,868.0,2020.0,0,6,1,1960.0,5,5,24.5,32.7,1.0,19.0,1.8,16.2,7.9,13.8,N,N,N,6,5
1.0,1.0,1934.0,868.0,2020.0,0,6,1,1960.0,5,9,24.5,32.7,1.0,19.0,1.8,11.9,13.7,13.8,N,N,N,5,5
1.0,1.0,1971.0,865.0,2020.0,N,N,N,0.0,6,6,23.6,39.9,1.0,19.0,3.0,12.8,9.8,19.8,N,N,N,5,6
1.0,1.0,1934.0,943.0,2020.0,0,6,1,1971.0,6,6,24.5,32.7,1.0,19.0,1.8,24.1,9.8,17.5,N,N,N,6,6
1.0,1.0,1971.0,943.0,2020.0,0,6,1,0.0,6,6,23.6,39.9,1.0,19.0,2.7,9.8,10.2,17.5,N,N,N,6,6
1.0,1.0,1994.0,865.0,2020.0,0,6,1,0.0,6,6,32.7,54.4,5.0,2.0,29.0,86.9,9.1,9.8,7,7,6,5,N
1.0,1.0,2004.0,868.0,2020.0,0,0,2,0.0,6,7,32.7,54.4,5.0,2.0,33.5,137.2,11.9,12.8,7,7,6,5,N
