,MAINTENANCE_021,HIGHWAY_DISTRICT_002,YEAR_BUILT_027,ADT_029,YEAR_ADT_030,MEMBRANE_TYPE_108B,SURFACE_TYPE_108A,DECK_STRUCTURE_TYPE_107,YEAR_RECONSTRUCTED_106,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,INVENTORY_RATING_066,OPERATING_RATING_064,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,LONG_017,LAT_016
0,63,2,2018,0,2021,0,1,1,0.0,8,6,39.0,57.2,5,2,14.9,16.2,7.4,7.9,1,1,1,1,0,94084500,32404980
1,64,17,2020,100,1991,0,0,2,0.0,7,6,30.1,38.9,1,1,9.1,18.3,7.3,7.9,1,1,1,1,0,95042675,30305851
2,1,1,1942,3408,2020,0,0,0,1969.0,5,0,24.5,32.7,1,19,2.4,8.2,0.0,0.0,0,0,0,0,0,95363106,33220005
3,1,1,2016,3639,2020,8,0,1,0.0,8,6,32.7,54.4,5,2,30.5,91.4,13.3,14.0,1,1,1,1,0,95362934,33231921
4,1,1,1954,100,2020,0,0,0,1960.0,6,9,23.6,39.9,1,19,3.0,6.7,11.6,12.0,0,0,0,1,1,95421834,33271263
5,1,1,1954,100,2020,0,6,1,0.0,6,5,25.4,49.0,1,1,7.6,22.9,7.0,7.7,1,1,1,1,0,95411391,33260314
6,1,1,1962,100,2020,0,0,0,0.0,6,8,23.6,39.9,1,19,3.0,10.1,9.8,10.2,0,0,0,1,0,95415658,33264262
7,1,1,1962,272,2020,8,6,1,0.0,6,4,33.6,68.0,1,1,7.6,38.1,7.0,7.7,1,1,1,1,0,95411748,33250569
8,1,1,1949,261,2020,8,9,1,0.0,5,5,18.1,29.9,4,2,21.3,106.4,7.3,7.9,1,1,0,0,0,95462720,33291135
9,1,1,2012,137,2020,0,0,0,0.0,6,6,32.7,54.4,1,19,2.7,12.5,9.1,9.8,0,0,0,1,0,95462807,33225905
10,1,1,1959,113,2020,0,6,1,0.0,6,4,25.4,49.9,1,1,7.6,15.2,7.1,7.7,1,1,1,1,0,95395646,33260127
11,1,1,1959,195,2019,0,6,1,0.0,6,4,25.4,49.0,1,1,7.6,7.6,7.2,7.7,1,1,1,1,0,95393558,33260033
12,1,1,1990,159,2020,0,0,1,0.0,7,6,32.7,54.4,5,2,21.3,21.3,8.5,9.1,1,1,1,1,0,95363475,33270792
13,1,1,1950,229,2020,0,0,0,1963.0,6,0,24.5,32.7,1,19,1.5,7.0,0.0,0.0,0,0,0,0,1,95354413,33270166
14,1,1,1955,154,2020,0,6,1,0.0,5,4,23.6,45.4,1,1,7.6,15.2,7.1,7.7,1,1,0,0,0,95483869,33204076
15,1,1,1955,154,2020,0,6,1,0.0,6,6,23.6,39.9,1,19,2.1,7.0,8.5,8.9,0,0,0,1,0,95482990,33204034
16,1,1,1955,154,2020,0,6,1,0.0,6,6,23.6,39.9,1,19,2.1,9.4,8.5,8.9,0,0,0,1,1,95481551,33203954
17,1,1,1956,154,2020,0,6,1,0.0,5,4,26.3,50.8,1,1,7.6,22.9,7.1,7.7,1,1,0,0,0,95500301,33204056
18,1,1,1951,127,2020,0,6,1,0.0,6,3,23.6,39.9,1,19,3.0,13.1,5.9,6.4,0,0,0,1,0,95304395,33241528
19,1,1,1996,127,2020,0,0,1,0.0,6,6,32.7,54.4,5,2,25.9,25.9,9.2,9.8,1,1,1,1,0,95304294,33242347
20,1,1,2007,447,2020,0,0,2,0.0,7,6,32.7,54.4,5,2,21.3,21.3,9.1,9.8,1,1,1,1,0,95353074,33234936
21,1,1,2007,447,2020,0,0,2,0.0,6,6,32.7,54.4,5,2,18.3,18.3,9.1,9.8,1,1,1,1,0,95343441,33233866
22,1,1,1990,422,2020,0,0,1,0.0,7,5,32.7,54.4,5,2,18.3,42.7,8.5,9.1,1,1,1,1,0,95513169,33221753
23,1,1,1996,628,2020,0,0,2,0.0,6,6,32.7,54.4,5,2,19.8,19.8,9.1,9.8,1,1,1,0,0,95513675,33193308
24,1,1,1956,378,2020,0,0,0,1990.0,6,0,23.6,39.9,1,19,2.4,8.2,0.0,0.0,0,0,0,1,1,95513060,33244019
25,1,1,1956,378,2020,0,0,0,1990.0,6,0,23.6,39.9,1,19,2.4,7.6,0.0,0.0,0,0,0,1,0,95513012,33245766
26,1,1,2004,233,2020,0,0,2,0.0,7,6,32.7,54.4,5,2,12.2,36.6,8.9,9.8,1,1,1,1,0,95493820,33223640
27,1,1,1990,631,2020,0,0,1,0.0,7,7,32.7,54.4,5,2,21.3,64.0,12.0,12.9,1,1,1,1,0,95422511,33211112
28,1,1,1990,210,2020,0,0,1,0.0,7,9,32.7,54.4,5,2,24.4,121.9,12.0,12.9,1,1,1,1,0,95450918,33195176
29,1,1,2000,769,2020,0,6,1,0.0,6,6,24.5,32.7,1,19,2.4,8.8,9.4,17.8,0,0,0,1,0,95412005,33215044
30,1,1,1968,924,2020,0,6,1,0.0,6,4,34.5,58.0,1,2,12.2,30.8,7.8,8.6,1,1,1,1,0,95393454,33223139
31,1,1,1968,924,2020,0,6,1,0.0,6,4,23.6,39.9,1,19,3.0,6.7,7.3,10.8,0,0,0,1,1,95390712,33225632
32,1,1,1968,666,2020,0,6,1,0.0,6,3,23.6,39.9,1,19,3.0,7.6,6.1,10.8,0,0,0,1,1,95373269,33225781
33,1,1,1990,100,2020,0,6,1,0.0,7,7,32.7,54.4,5,5,16.8,16.8,8.5,9.1,1,1,1,1,0,95452270,33245515
34,1,1,2010,350,2019,0,0,1,0.0,7,6,32.7,54.4,5,2,35.1,140.2,9.1,9.8,1,1,1,0,0,95411178,33284026
35,1,1,1960,188,2020,0,6,1,0.0,6,7,23.6,39.9,1,19,2.7,7.0,9.8,10.2,0,0,0,1,0,95490895,33183302
36,1,1,1960,188,2020,0,6,1,0.0,6,5,29.0,49.0,1,1,7.6,45.7,7.3,7.9,1,1,1,0,0,95492668,33165963
37,1,1,1979,269,2020,0,0,0,0.0,6,0,23.6,39.9,1,19,2.7,10.4,0.0,0.0,0,0,0,0,0,95392495,33252639
38,2,1,2022,40,2010,0,0,1,0.0,9,6,32.7,54.4,5,1,12.2,12.2,7.4,8.0,1,1,1,1,0,95462783,33221796
39,1,1,1933,1201,2020,0,6,1,1955.0,6,5,26.3,44.4,1,4,8.5,43.6,9.1,10.1,1,1,1,0,0,96183514,33350380
40,1,1,1933,1201,2020,0,6,1,1955.0,5,5,26.3,44.4,1,4,8.5,61.0,9.1,10.1,1,0,0,1,0,96182916,33350260
41,1,1,1933,1527,2020,0,0,0,1955.0,6,7,23.6,39.9,1,19,3.0,6.7,13.1,17.5,0,0,0,1,0,96163971,33344072
42,1,1,1933,12469,2020,0,0,0,1974.0,6,0,24.5,32.7,1,19,1.5,14.6,0.0,0.0,0,0,0,0,0,96113643,33343787
43,1,1,1933,9110,2020,0,0,0,1974.0,6,9,24.5,32.7,1,19,1.5,10.1,20.7,37.8,0,0,0,1,0,96112455,33343777
44,1,1,1931,2818,2020,0,6,1,1965.0,5,6,27.2,46.3,1,4,8.5,139.0,13.0,13.5,1,1,0,0,0,96092063,33343306
45,1,1,1931,2818,2020,0,6,1,1965.0,6,6,27.2,46.3,1,4,8.5,52.1,13.0,13.5,1,1,1,1,0,96090456,33343220
46,1,1,1931,2818,2020,0,0,0,1965.0,6,0,24.5,32.7,1,19,1.5,7.0,0.0,0.0,0,0,0,1,1,96084591,33343121
47,1,1,1931,2428,2020,0,6,1,1965.0,6,6,27.2,46.3,1,4,8.5,52.1,13.0,13.5,1,1,1,1,0,96070966,33343720
48,1,1,1924,1477,2020,0,6,1,1965.0,5,6,26.3,45.4,1,1,5.5,38.4,11.8,12.3,1,1,0,0,0,96022258,33342339
49,1,1,1924,1477,2020,0,6,1,1965.0,6,6,26.3,45.4,1,1,5.5,27.4,11.8,12.3,1,1,1,0,0,96014048,33341395
50,1,1,1954,2603,2020,0,0,0,0.0,6,0,24.5,32.7,1,19,1.8,8.2,0.0,0.0,0,0,0,1,0,95530900,33351394
51,1,1,2000,2400,2010,0,0,2,0.0,7,4,32.7,54.4,5,2,29.0,92.1,9.5,10.4,1,1,1,0,0,96212695,33364948
52,1,1,1994,5228,2019,0,0,2,0.0,7,9,32.7,54.4,5,2,30.5,64.0,13.2,14.0,1,1,1,0,0,95544163,33355027
53,1,1,1996,6243,2020,0,0,0,2016.0,5,9,23.6,39.9,1,19,3.0,13.7,23.2,57.4,0,0,0,0,0,96131152,33361447
54,1,1,1996,6243,2020,0,0,0,0.0,5,9,23.6,39.9,1,19,2.7,11.3,27.1,170.2,0,0,0,1,0,96113867,33361808
55,1,1,2001,5523,2019,0,0,2,0.0,6,5,32.7,54.4,5,2,29.0,83.8,13.2,14.0,1,1,1,0,0,96103014,33361517
56,1,1,1998,6243,2020,0,0,2,0.0,7,5,32.7,54.4,5,2,32.0,86.9,13.2,14.0,1,1,1,0,0,96112959,33361802
57,1,1,1998,6243,2020,0,0,0,2016.0,5,9,23.6,39.9,1,19,3.0,10.1,23.2,64.9,0,0,0,1,1,96220324,33365343
58,1,1,1998,5250,2013,0,0,2,2017.0,7,9,32.7,54.4,5,2,24.4,73.2,17.0,17.7,1,1,1,1,0,96162419,33363371
59,1,1,1996,6243,2020,0,0,0,2016.0,5,9,23.6,39.9,1,19,3.0,9.4,23.2,68.7,0,0,0,1,1,96161108,33363051
60,1,1,2013,6400,2011,0,0,2,0.0,7,7,32.7,54.4,5,2,24.4,73.2,11.6,12.2,1,1,1,1,0,96162111,33363423
61,1,1,2021,10800,2018,0,0,2,0.0,7,6,32.7,54.4,5,2,32.0,86.9,11.6,12.2,1,1,1,0,0,96112976,33361875
62,1,1,2021,10800,2018,0,0,2,0.0,7,5,32.7,54.4,5,2,29.0,83.8,11.6,12.2,1,1,1,0,0,96103024,33361632
63,1,1,1954,4355,2020,0,0,0,1992.0,6,0,24.5,32.7,1,19,2.4,11.3,0.0,0.0,0,0,0,1,0,95514423,33354562
64,1,1,1990,7333,2020,0,0,2,0.0,7,6,32.7,54.4,5,2,24.4,195.1,13.4,14.1,1,1,1,1,0,96084519,33361105
65,1,1,1990,7333,2020,0,0,2,0.0,6,6,32.7,54.4,5,2,29.0,280.4,13.4,14.1,1,1,1,1,0,96082509,33361026
66,1,1,1990,7333,2020,0,0,2,0.0,6,9,32.7,54.4,5,2,29.0,134.1,13.6,14.1,1,1,1,1,0,96075198,33361445
67,1,1,1990,6928,2020,0,6,2,0.0,6,9,32.7,54.4,5,2,29.0,134.1,13.6,14.1,1,1,1,1,0,96022195,33362656
68,1,1,1990,7333,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,3.0,10.7,0.0,0.0,0,0,0,1,0,96055809,33362348
69,1,1,1990,7333,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,2.4,11.6,0.0,0.0,0,0,0,1,0,96051437,33362307
70,1,1,1990,6928,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,2.4,7.9,0.0,0.0,0,0,0,1,1,96015415,33363213
71,1,1,1990,6928,2020,0,0,0,0.0,6,0,24.5,32.7,1,19,3.0,18.9,0.0,0.0,0,0,0,1,0,96014340,33363326
72,1,1,1990,6652,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,3.0,16.8,0.0,0.0,0,0,0,1,1,95585897,33362104
73,1,1,1990,6652,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,3.0,26.2,0.0,0.0,0,0,0,1,0,95583550,33362009
74,1,1,1990,6776,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,2.4,8.2,0.0,0.0,0,0,0,1,1,95553149,33355480
75,1,1,1990,6776,2020,0,0,0,2020.0,6,0,24.5,32.7,1,19,2.4,8.2,0.0,0.0,0,0,0,1,1,95550432,33355258
76,1,1,2021,5700,2018,0,0,2,0.0,7,5,32.7,54.4,5,2,25.9,195.1,11.6,12.2,1,1,1,1,0,96084497,33361182
77,1,1,2021,5700,2018,0,0,2,0.0,7,5,32.7,54.4,5,2,29.0,281.9,11.6,12.2,1,1,1,1,0,96082522,33361107
78,1,1,2021,5700,2018,0,0,2,0.0,7,5,32.7,54.4,5,2,29.0,134.1,11.6,12.2,1,1,1,1,0,96075162,33361267
79,1,1,2021,5700,2018,0,0,2,0.0,7,5,32.7,54.4,5,2,29.0,134.1,11.6,12.2,1,1,1,1,0,96022437,33362499
80,1,1,2020,2403,2019,0,1,2,0.0,8,6,32.7,54.4,5,2,33.5,67.1,11.4,12.2,1,1,1,0,0,95544176,33355116
81,1,1,1966,1035,2020,8,6,1,0.0,6,6,24.5,32.7,1,19,1.8,10.4,10.7,18.1,0,0,0,1,0,95561883,33241848
82,1,1,1934,868,2020,0,6,1,1960.0,5,5,24.5,32.7,1,19,1.8,16.2,7.9,13.8,0,0,0,1,0,95562565,33270424
83,1,1,1934,868,2020,0,6,1,1960.0,5,9,24.5,32.7,1,19,1.8,11.9,13.7,13.8,0,0,0,0,0,95563115,33272860
84,1,1,1971,865,2020,0,0,0,0.0,6,6,23.6,39.9,1,19,3.0,12.8,9.8,19.8,0,0,0,0,0,95561270,33311020
85,1,1,1934,943,2020,0,6,1,1971.0,6,6,24.5,32.7,1,19,1.8,24.1,9.8,17.5,0,0,0,1,0,95551589,33322341
86,1,1,1971,943,2020,0,6,1,0.0,6,6,24.5,32.7,1,19,2.7,9.8,10.2,17.5,0,0,0,1,0,95545902,33334979
87,1,1,1994,865,2020,0,6,1,0.0,6,6,32.7,54.4,5,2,29.0,86.9,9.1,9.8,1,1,1,0,0,95563360,33293375
88,1,1,2004,868,2020,0,0,2,0.0,6,7,32.7,54.4,5,2,33.5,137.2,11.9,12.8,1,1,1,0,0,95562995,33272018
89,1,1,1952,258,2020,0,6,1,1994.0,6,9,24.5,32.7,1,19,2.4,13.1,17.1,17.5,0,0,0,1,0,95545972,33454899
90,1,1,1984,1988,2020,0,6,1,0.0,6,6,40.8,68.0,1,2,12.5,31.4,10.4,11.0,1,1,1,1,0,95543275,33393937
91,1,1,1984,902,2020,0,6,1,0.0,6,6,40.8,68.0,1,2,12.5,74.7,10.4,11.0,1,1,1,1,0,95544052,33430440
92,1,1,1990,1988,2020,0,6,1,0.0,6,4,24.5,32.7,1,19,3.0,10.1,7.3,17.1,0,0,0,1,1,95544128,33360045
93,1,1,1994,258,2020,0,0,2,0.0,7,6,32.7,54.4,5,2,22.9,59.4,9.1,9.8,1,1,1,1,0,95545795,33453794
